pitch_name,sector,model,run,score,risks_count,claims_count,evidence_cited,risk_severity_high,recommendation_length,rubric_score
LedgerFlow,fintech,gpt-oss-120b,1,3,3,3,True,1,39,5
LedgerFlow,fintech,gpt-oss-120b,2,3,3,3,True,1,29,5
LedgerFlow,fintech,gpt-oss-120b,3,3,3,3,True,1,49,5
LedgerFlow,fintech,Kimi-K2.5,1,3,3,3,True,2,59,5
LedgerFlow,fintech,Kimi-K2.5,2,3,3,4,True,2,75,5
LedgerFlow,fintech,Kimi-K2.5,3,4,3,3,True,2,101,5
LedgerFlow,fintech,llama3.1:8b,1,3,2,3,True,1,10,4
LedgerFlow,fintech,llama3.1:8b,2,3,3,2,True,2,33,5
LedgerFlow,fintech,llama3.1:8b,3,5,3,2,True,0,22,4
CryptoSave,fintech,gpt-oss-120b,1,3,3,3,True,1,40,5
CryptoSave,fintech,gpt-oss-120b,2,3,3,3,True,2,22,5
CryptoSave,fintech,gpt-oss-120b,3,3,3,4,True,1,29,5
CryptoSave,fintech,Kimi-K2.5,1,2,3,3,True,2,50,5
CryptoSave,fintech,Kimi-K2.5,2,2,3,3,True,2,61,5
CryptoSave,fintech,Kimi-K2.5,3,2,3,3,True,3,32,5
CryptoSave,fintech,llama3.1:8b,1,3,0,1,True,0,4,1
CryptoSave,fintech,llama3.1:8b,2,3,1,1,True,1,18,3
CryptoSave,fintech,llama3.1:8b,3,3,2,2,True,1,19,5
CareCoord,healthtech,gpt-oss-120b,1,3,3,3,True,1,36,5
CareCoord,healthtech,gpt-oss-120b,2,3,3,3,True,2,44,5
CareCoord,healthtech,gpt-oss-120b,3,3,3,3,True,1,41,5
CareCoord,healthtech,Kimi-K2.5,1,3,4,3,True,2,81,5
CareCoord,healthtech,Kimi-K2.5,2,3,3,3,True,2,84,5
CareCoord,healthtech,Kimi-K2.5,3,3,3,3,True,2,76,5
CareCoord,healthtech,llama3.1:8b,1,5,2,3,True,2,16,5
CareCoord,healthtech,llama3.1:8b,2,3,0,0,True,0,4,1
CareCoord,healthtech,llama3.1:8b,3,2,2,2,True,1,8,4
WellnessAI,healthtech,gpt-oss-120b,1,3,3,3,True,2,36,5
WellnessAI,healthtech,gpt-oss-120b,2,3,3,3,True,2,20,5
WellnessAI,healthtech,gpt-oss-120b,3,3,3,3,True,2,37,5
WellnessAI,healthtech,Kimi-K2.5,1,2,3,3,True,2,72,5
WellnessAI,healthtech,Kimi-K2.5,2,2,3,3,True,2,64,5
WellnessAI,healthtech,Kimi-K2.5,3,2,3,3,True,2,73,5
WellnessAI,healthtech,llama3.1:8b,1,3,0,0,True,0,4,1
WellnessAI,healthtech,llama3.1:8b,2,2,2,2,True,1,22,5
WellnessAI,healthtech,llama3.1:8b,3,3,0,0,True,0,4,1
ReturnKit,ecommerce,gpt-oss-120b,1,3,3,5,True,1,47,5
ReturnKit,ecommerce,gpt-oss-120b,2,3,3,3,True,1,45,5
ReturnKit,ecommerce,gpt-oss-120b,3,3,3,3,True,1,34,5
ReturnKit,ecommerce,Kimi-K2.5,1,3,3,3,True,1,47,5
ReturnKit,ecommerce,Kimi-K2.5,2,3,3,3,True,2,77,5
ReturnKit,ecommerce,Kimi-K2.5,3,3,3,3,True,2,87,5
ReturnKit,ecommerce,llama3.1:8b,1,3,2,2,False,1,30,5
ReturnKit,ecommerce,llama3.1:8b,2,3,3,3,False,1,18,5
ReturnKit,ecommerce,llama3.1:8b,3,3,0,0,True,0,4,1
NicheShop,ecommerce,gpt-oss-120b,1,3,3,3,True,2,30,5
NicheShop,ecommerce,gpt-oss-120b,2,3,3,3,True,2,33,5
NicheShop,ecommerce,gpt-oss-120b,3,3,3,3,True,2,29,5
NicheShop,ecommerce,Kimi-K2.5,1,2,4,4,True,3,76,5
NicheShop,ecommerce,Kimi-K2.5,2,2,3,3,True,2,66,5
NicheShop,ecommerce,Kimi-K2.5,3,2,3,3,True,3,46,5
NicheShop,ecommerce,llama3.1:8b,1,2,2,2,True,1,19,5
NicheShop,ecommerce,llama3.1:8b,2,3,3,2,False,1,28,5
NicheShop,ecommerce,llama3.1:8b,3,2,2,1,True,2,22,4
ProposalDesk,saas,gpt-oss-120b,1,3,3,3,True,1,45,5
ProposalDesk,saas,gpt-oss-120b,2,3,3,3,True,2,36,5
ProposalDesk,saas,gpt-oss-120b,3,3,3,3,True,1,38,5
ProposalDesk,saas,Kimi-K2.5,1,2,4,3,True,3,50,5
ProposalDesk,saas,Kimi-K2.5,2,2,4,4,True,3,83,5
ProposalDesk,saas,Kimi-K2.5,3,3,3,3,True,2,86,5
ProposalDesk,saas,llama3.1:8b,1,5,1,2,True,1,17,4
ProposalDesk,saas,llama3.1:8b,2,5,2,3,True,1,22,5
ProposalDesk,saas,llama3.1:8b,3,3,2,3,False,1,23,5
TeamSync,saas,gpt-oss-120b,1,3,3,5,True,2,43,5
TeamSync,saas,gpt-oss-120b,2,3,3,3,True,2,41,5
TeamSync,saas,gpt-oss-120b,3,3,3,3,True,2,43,5
TeamSync,saas,Kimi-K2.5,1,2,4,3,True,3,74,5
TeamSync,saas,Kimi-K2.5,2,2,5,5,True,3,60,5
TeamSync,saas,Kimi-K2.5,3,3,4,4,True,3,43,5
TeamSync,saas,llama3.1:8b,1,3,2,2,False,1,11,5
TeamSync,saas,llama3.1:8b,2,3,2,2,True,1,17,5
TeamSync,saas,llama3.1:8b,3,5,1,1,True,0,9,2
LocalPulse,media,gpt-oss-120b,1,3,2,3,True,1,27,5
LocalPulse,media,gpt-oss-120b,2,3,3,3,True,1,43,5
LocalPulse,media,gpt-oss-120b,3,3,3,5,True,1,37,5
LocalPulse,media,Kimi-K2.5,1,2,3,3,True,1,48,5
LocalPulse,media,Kimi-K2.5,2,3,4,4,True,3,72,5
LocalPulse,media,Kimi-K2.5,3,2,3,3,True,2,45,5
LocalPulse,media,llama3.1:8b,1,5,2,3,True,1,22,5
LocalPulse,media,llama3.1:8b,2,3,2,2,False,1,28,4
LocalPulse,media,llama3.1:8b,3,3,3,3,True,1,38,5
SiteSense,hardware,gpt-oss-120b,1,3,3,3,True,1,36,5
SiteSense,hardware,gpt-oss-120b,2,3,3,3,True,1,36,5
SiteSense,hardware,gpt-oss-120b,3,3,3,3,True,1,51,5
SiteSense,hardware,Kimi-K2.5,1,2,3,3,True,1,67,5
SiteSense,hardware,Kimi-K2.5,2,3,3,3,True,2,84,5
SiteSense,hardware,Kimi-K2.5,3,2,3,3,True,2,78,5
SiteSense,hardware,llama3.1:8b,1,5,3,2,True,2,17,5
SiteSense,hardware,llama3.1:8b,2,3,3,3,True,1,30,4
SiteSense,hardware,llama3.1:8b,3,3,2,2,True,1,14,5
MealMap,food,gpt-oss-120b,1,3,3,3,True,1,50,5
MealMap,food,gpt-oss-120b,2,3,3,4,True,1,30,5
MealMap,food,gpt-oss-120b,3,3,3,3,True,1,52,5
MealMap,food,Kimi-K2.5,1,2,4,5,True,2,69,5
MealMap,food,Kimi-K2.5,2,3,3,3,True,1,83,5
MealMap,food,Kimi-K2.5,3,2,3,4,True,2,60,5
MealMap,food,llama3.1:8b,1,3,0,2,True,0,4,2
MealMap,food,llama3.1:8b,2,5,2,3,True,0,19,5
MealMap,food,llama3.1:8b,3,5,2,1,False,1,24,4
HealthyBite,food,gpt-oss-120b,1,3,3,3,True,2,37,5
HealthyBite,food,gpt-oss-120b,2,3,3,5,True,2,44,5
HealthyBite,food,gpt-oss-120b,3,3,3,3,True,2,47,5
HealthyBite,food,Kimi-K2.5,1,3,3,3,True,2,45,5
HealthyBite,food,Kimi-K2.5,2,2,3,3,True,3,67,5
HealthyBite,food,Kimi-K2.5,3,2,3,4,True,3,69,5
HealthyBite,food,llama3.1:8b,1,4,1,2,False,1,14,4
HealthyBite,food,llama3.1:8b,2,5,2,2,False,1,11,5
HealthyBite,food,llama3.1:8b,3,3,3,3,True,2,33,5
