pitch_name,sector,model,run,verdict,verdict_score,confidence,risks_count,plan_items,questions_count,summary_words,rubric_score
ShiftPay,fintech,gpt-oss-120b,1,Pivot,2,Low,3,3,3,34,5
ShiftPay,fintech,gpt-oss-120b,2,Pivot,2,Medium,3,3,3,39,5
ShiftPay,fintech,gpt-oss-120b,3,Go,3,Medium,3,3,3,32,5
ShiftPay,fintech,Kimi-K2.5,1,Go,3,Low,3,3,3,65,5
ShiftPay,fintech,Kimi-K2.5,2,Go,3,Medium,5,5,6,54,5
ShiftPay,fintech,Kimi-K2.5,3,Go,3,Low,3,3,3,54,5
PayBridge,fintech,gpt-oss-120b,1,Go,3,Medium,3,4,3,80,5
PayBridge,fintech,gpt-oss-120b,2,Go,3,Medium,3,3,3,51,5
PayBridge,fintech,gpt-oss-120b,3,Pivot,2,Low,3,3,3,50,5
PayBridge,fintech,Kimi-K2.5,1,No-Go,1,Low,3,3,3,57,5
PayBridge,fintech,Kimi-K2.5,2,Pivot,2,Low,3,3,3,54,5
PayBridge,fintech,Kimi-K2.5,3,Go,3,Low,4,3,3,54,5
BuildSpend,fintech,gpt-oss-120b,1,Pivot,2,Low,3,3,3,40,5
BuildSpend,fintech,gpt-oss-120b,2,Pivot,2,Low,3,3,3,65,5
BuildSpend,fintech,gpt-oss-120b,3,Pivot,2,Low,3,3,5,31,5
BuildSpend,fintech,Kimi-K2.5,1,Go,3,Low,3,3,3,68,5
BuildSpend,fintech,Kimi-K2.5,2,Go,3,Medium,3,3,3,56,5
BuildSpend,fintech,Kimi-K2.5,3,Go,3,Low,3,3,3,82,5
Dentipay,fintech,gpt-oss-120b,1,Go,3,Medium,3,4,3,59,5
Dentipay,fintech,gpt-oss-120b,2,Go,3,Medium,4,4,6,50,5
Dentipay,fintech,gpt-oss-120b,3,Pivot,2,Low,3,4,5,41,5
Dentipay,fintech,Kimi-K2.5,1,Go,3,Low,3,3,3,68,5
Dentipay,fintech,Kimi-K2.5,2,Go,3,Low,3,3,4,68,5
Dentipay,fintech,Kimi-K2.5,3,Go,3,Low,5,3,5,59,5
Recoup,fintech,gpt-oss-120b,1,Go,3,Medium,3,5,5,65,5
Recoup,fintech,gpt-oss-120b,2,Go,3,Medium,3,5,8,38,5
Recoup,fintech,gpt-oss-120b,3,Pivot,2,Medium,3,3,3,39,5
Recoup,fintech,Kimi-K2.5,1,Go,3,Low,3,3,3,36,5
Recoup,fintech,Kimi-K2.5,2,Go,3,Medium,3,3,3,52,5
Recoup,fintech,Kimi-K2.5,3,Go,3,Low,3,3,3,57,5
HaulCash,fintech,gpt-oss-120b,1,Go,3,Medium,3,3,3,69,5
HaulCash,fintech,gpt-oss-120b,2,Go,3,Medium,3,4,3,46,5
HaulCash,fintech,gpt-oss-120b,3,Go,3,Medium,3,4,6,73,5
HaulCash,fintech,Kimi-K2.5,1,Go,3,Medium,4,3,4,64,5
HaulCash,fintech,Kimi-K2.5,2,Go,3,Medium,3,3,3,77,5
HaulCash,fintech,Kimi-K2.5,3,Go,3,Medium,3,3,3,61,5
TaxChain,fintech,gpt-oss-120b,1,Pivot,2,Low,3,3,5,22,4
TaxChain,fintech,gpt-oss-120b,2,Go,3,Medium,3,4,3,62,5
TaxChain,fintech,gpt-oss-120b,3,Go,3,Medium,3,3,3,45,5
TaxChain,fintech,Kimi-K2.5,1,Go,3,Low,4,4,5,54,5
TaxChain,fintech,Kimi-K2.5,2,Go,3,Medium,3,3,3,68,5
TaxChain,fintech,Kimi-K2.5,3,Go,3,Low,3,3,3,47,5
HedgeLoop,fintech,gpt-oss-120b,1,Go,3,Medium,3,3,5,42,5
HedgeLoop,fintech,gpt-oss-120b,2,Go,3,Low,3,3,3,55,5
HedgeLoop,fintech,gpt-oss-120b,3,Go,3,Medium,3,3,3,52,5
HedgeLoop,fintech,Kimi-K2.5,1,Go,3,Low,4,3,3,96,5
HedgeLoop,fintech,Kimi-K2.5,2,Go,3,Low,3,3,3,54,5
HedgeLoop,fintech,Kimi-K2.5,3,Go,3,Medium,3,3,3,55,5
FlexBank,fintech,gpt-oss-120b,1,Go,3,Medium,3,3,5,45,5
FlexBank,fintech,gpt-oss-120b,2,Go,3,Low,3,3,3,46,5
FlexBank,fintech,gpt-oss-120b,3,Go,3,Medium,3,3,3,46,5
FlexBank,fintech,Kimi-K2.5,1,Go,3,Medium,4,3,3,60,5
FlexBank,fintech,Kimi-K2.5,2,Go,3,Low,5,5,5,51,5
FlexBank,fintech,Kimi-K2.5,3,No-Go,1,Low,3,3,3,47,5
CompliSure,fintech,gpt-oss-120b,1,Go,3,Medium,3,3,6,59,5
CompliSure,fintech,gpt-oss-120b,2,Pivot,2,Low,3,3,3,58,5
CompliSure,fintech,gpt-oss-120b,3,Go,3,Medium,3,4,5,52,5
CompliSure,fintech,Kimi-K2.5,1,Go,3,Medium,3,3,3,57,5
CompliSure,fintech,Kimi-K2.5,2,Go,3,Low,3,3,3,92,5
CompliSure,fintech,Kimi-K2.5,3,Go,3,Medium,3,3,3,83,5
FlowFund,fintech,gpt-oss-120b,1,Pivot,2,Low,3,3,5,74,5
FlowFund,fintech,gpt-oss-120b,2,Go,3,Medium,3,3,5,62,5
FlowFund,fintech,gpt-oss-120b,3,Go,3,Medium,3,3,3,62,5
FlowFund,fintech,Kimi-K2.5,1,Go,3,Low,3,3,3,58,5
FlowFund,fintech,Kimi-K2.5,2,Go,3,Low,3,3,3,84,5
FlowFund,fintech,Kimi-K2.5,3,Go,3,Medium,3,3,3,62,5
TruckCredit,fintech,gpt-oss-120b,1,Pivot,2,Low,3,3,5,28,5
TruckCredit,fintech,gpt-oss-120b,2,Pivot,2,Low,3,4,5,51,5
TruckCredit,fintech,gpt-oss-120b,3,Go,3,Medium,3,3,3,23,4
TruckCredit,fintech,Kimi-K2.5,1,Go,3,Low,3,3,3,58,5
TruckCredit,fintech,Kimi-K2.5,2,Go,3,Low,3,3,3,59,5
TruckCredit,fintech,Kimi-K2.5,3,No-Go,1,Low,4,3,4,69,5
